Date,Close
1/2/2020 16:00:00,50.39
1/3/2020 16:00:00,50.09
1/6/2020 16:00:00,49.88
1/7/2020 16:00:00,50.07
1/8/2020 16:00:00,49.95
1/9/2020 16:00:00,50.08
1/10/2020 16:00:00,49.85
1/13/2020 16:00:00,49.67
1/14/2020 16:00:00,50.18
1/15/2020 16:00:00,50.8
1/16/2020 16:00:00,50.51
1/17/2020 16:00:00,51.33
1/21/2020 16:00:00,50.8
1/22/2020 16:00:00,50.45
1/23/2020 16:00:00,50.2
1/24/2020 16:00:00,49.28
1/27/2020 16:00:00,48.9
1/28/2020 16:00:00,49.6
1/29/2020 16:00:00,49.66
1/30/2020 16:00:00,49.09
1/31/2020 16:00:00,48.7
2/3/2020 16:00:00,48.51
2/4/2020 16:00:00,48.76
2/5/2020 16:00:00,49.73
2/6/2020 16:00:00,50.03
2/7/2020 16:00:00,49.4
2/10/2020 16:00:00,49.91
2/11/2020 16:00:00,49.78
2/12/2020 16:00:00,49.58
2/13/2020 16:00:00,49.33
2/14/2020 16:00:00,47.85
2/18/2020 16:00:00,49.11
2/19/2020 16:00:00,49.31
2/20/2020 16:00:00,48.94
2/21/2020 16:00:00,50.17
2/24/2020 16:00:00,47.59
2/25/2020 16:00:00,47.08
2/26/2020 16:00:00,47.57
2/27/2020 16:00:00,45.07
2/28/2020 16:00:00,43.8
3/2/2020 16:00:00,45.87
3/3/2020 16:00:00,45.52
3/4/2020 16:00:00,48.6
3/5/2020 16:00:00,48.38
3/6/2020 16:00:00,47.52
3/9/2020 16:00:00,45.23
3/10/2020 16:00:00,46.9
3/11/2020 16:00:00,44.58
3/12/2020 16:00:00,40.76
3/13/2020 16:00:00,42.28
3/16/2020 16:00:00,37.79
3/17/2020 16:00:00,40.93
3/18/2020 16:00:00,39.36
3/19/2020 16:00:00,40.13
3/20/2020 16:00:00,39.42
3/23/2020 16:00:00,38.78
3/24/2020 16:00:00,40.89
3/25/2020 16:00:00,40.38
3/26/2020 16:00:00,42.36
3/27/2020 16:00:00,42.47
3/30/2020 16:00:00,44.53
3/31/2020 16:00:00,44.66
4/1/2020 16:00:00,43.78
4/2/2020 16:00:00,43.76
4/3/2020 16:00:00,43.96
4/6/2020 16:00:00,44.31
4/7/2020 16:00:00,43.1
4/8/2020 16:00:00,43.85
4/9/2020 16:00:00,44.66
4/13/2020 16:00:00,47.36
4/14/2020 16:00:00,48.68
4/15/2020 16:00:00,48.03
4/16/2020 16:00:00,49.13
4/17/2020 16:00:00,50.03
4/20/2020 16:00:00,50.44
4/21/2020 16:00:00,50.07
4/22/2020 16:00:00,50.36
4/23/2020 16:00:00,50.39
4/24/2020 16:00:00,51.18
4/27/2020 16:00:00,51.48
4/28/2020 16:00:00,50.97
4/29/2020 16:00:00,50.72
4/30/2020 16:00:00,52.28
5/1/2020 16:00:00,51.86
5/4/2020 16:00:00,52.35
5/5/2020 16:00:00,53.47
5/6/2020 16:00:00,54.04
5/7/2020 16:00:00,52.74
5/8/2020 16:00:00,53.29
5/11/2020 16:00:00,53.95
5/12/2020 16:00:00,54.11
5/13/2020 16:00:00,55.31
5/14/2020 16:00:00,53.5
5/15/2020 16:00:00,53.41
5/18/2020 16:00:00,53.45
5/19/2020 16:00:00,53.57
5/20/2020 16:00:00,53.78
5/21/2020 16:00:00,55.28
5/22/2020 16:00:00,55.22
5/26/2020 16:00:00,53.11
5/27/2020 16:00:00,52.47
5/28/2020 16:00:00,53.5
5/29/2020 16:00:00,54.6
6/1/2020 16:00:00,55.16
6/2/2020 16:00:00,54.72
6/3/2020 16:00:00,55
6/4/2020 16:00:00,53.87
6/5/2020 16:00:00,53.85
6/8/2020 16:00:00,52.58
6/9/2020 16:00:00,52.73
6/10/2020 16:00:00,53.64
6/11/2020 16:00:00,51.57
6/12/2020 16:00:00,51.47
6/15/2020 16:00:00,52.64
6/16/2020 16:00:00,53.58
6/17/2020 16:00:00,53.9
6/18/2020 16:00:00,52.66
6/19/2020 16:00:00,53.02
6/22/2020 16:00:00,53.42
6/23/2020 16:00:00,54.25
6/24/2020 16:00:00,52.13
6/25/2020 16:00:00,53.01
6/26/2020 16:00:00,52.7
6/29/2020 16:00:00,52.91
6/30/2020 16:00:00,52.89
7/1/2020 16:00:00,53.32
7/2/2020 16:00:00,53.8
7/6/2020 16:00:00,54.1
7/7/2020 16:00:00,53.47
7/8/2020 16:00:00,54.19
7/9/2020 16:00:00,53.97
7/10/2020 16:00:00,53.76
7/13/2020 16:00:00,53.24
7/14/2020 16:00:00,53.98
7/15/2020 16:00:00,58
7/16/2020 16:00:00,57.43
7/17/2020 16:00:00,61.1
